id,lccs_class,SOC_stock,lc_full,lc_group
1,120,75.8108139038086,Shrubland,shrub
2,120,52.7475814819336,Shrubland,shrub
3,120,50.1521110534668,Shrubland,shrub
59,50,72.8955001831055,"Tree cover (broadleaf, evergreen)",trees
60,130,75.5193939208984,Grassland,grass
118,80,60.1259994506836,"Tree cover (needle, deciduous)",trees
119,130,70.683952331543,Grassland,grass
177,50,80.8583374023438,"Tree cover (broadleaf, evergreen)",trees
236,200,72.6221694946289,Bare,other
237,130,69.8823394775391,Grassland,grass
239,210,13.67405128479,Water,other
296,130,67.2766723632813,Grassland,grass
297,130,71.7932281494141,Grassland,grass
299,130,83.3814086914063,Grassland,grass
353,130,78.53515625,Grassland,grass
354,130,81.3486633300781,Grassland,grass
355,130,85.1335144042969,Grassland,grass
356,130,91.4260635375977,Grassland,grass
357,50,88.2365493774414,"Tree cover (broadleaf, evergreen)",trees
358,130,81.6928024291992,Grassland,grass
359,130,88.8864898681641,Grassland,grass
360,130,79.9857635498047,Grassland,grass
410,120,81.1294021606445,Shrubland,shrub
411,50,93.9790878295898,"Tree cover (broadleaf, evergreen)",trees
412,130,93.770751953125,Grassland,grass
413,50,99.1834182739258,"Tree cover (broadleaf, evergreen)",trees
414,50,92.5065460205078,"Tree cover (broadleaf, evergreen)",trees
415,50,89.0325317382813,"Tree cover (broadleaf, evergreen)",trees
416,50,90.7634506225586,"Tree cover (broadleaf, evergreen)",trees
417,130,98.6898956298828,Grassland,grass
418,130,85.1572875976563,Grassland,grass
419,130,60.6565284729004,Grassland,grass
469,130,82.8160705566406,Grassland,grass
470,130,93.1129608154297,Grassland,grass
471,130,88.2008590698242,Grassland,grass
472,130,83.5773391723633,Grassland,grass
473,130,84.4189453125,Grassland,grass
474,130,89.1004333496094,Grassland,grass
475,130,85.0238800048828,Grassland,grass
476,130,88.5993576049805,Grassland,grass
477,130,86.8983535766602,Grassland,grass
478,210,52.363151550293,Water,other
479,50,72.8845062255859,"Tree cover (broadleaf, evergreen)",trees
528,50,100.359008789063,"Tree cover (broadleaf, evergreen)",trees
529,210,63.6406555175781,Water,other
530,130,84.1477127075195,Grassland,grass
531,120,80.7100524902344,Shrubland,shrub
532,130,85.9626007080078,Grassland,grass
533,130,84.2262191772461,Grassland,grass
534,130,84.7974624633789,Grassland,grass
535,130,83.6290588378906,Grassland,grass
536,130,90.7725219726563,Grassland,grass
537,50,94.1648483276367,"Tree cover (broadleaf, evergreen)",trees
538,50,85.3766021728516,"Tree cover (broadleaf, evergreen)",trees
539,210,23.1961193084717,Water,other
587,130,66.8926010131836,Grassland,grass
588,130,104.439086914063,Grassland,grass
589,50,102.584678649902,"Tree cover (broadleaf, evergreen)",trees
590,130,88.6470108032227,Grassland,grass
591,130,83.4721221923828,Grassland,grass
592,130,93.3548431396484,Grassland,grass
593,130,91.0912399291992,Grassland,grass
594,130,90.4961166381836,Grassland,grass
595,130,92.0003128051758,Grassland,grass
596,130,94.5946350097656,Grassland,grass
597,130,86.2041015625,Grassland,grass
646,50,94.3796539306641,"Tree cover (broadleaf, evergreen)",trees
647,50,112.019149780273,"Tree cover (broadleaf, evergreen)",trees
648,130,108.467742919922,Grassland,grass
649,130,87.2892227172852,Grassland,grass
650,50,88.7500762939453,"Tree cover (broadleaf, evergreen)",trees
651,130,84.0671005249024,Grassland,grass
652,130,90.4664611816406,Grassland,grass
653,130,88.9629135131836,Grassland,grass
654,130,93.7247009277344,Grassland,grass
655,130,99.6002807617188,Grassland,grass
656,130,68.1305541992188,Grassland,grass
704,50,90.8270645141602,"Tree cover (broadleaf, evergreen)",trees
705,130,101.616607666016,Grassland,grass
706,50,112.341201782227,"Tree cover (broadleaf, evergreen)",trees
707,100,97.0758438110352,Mosaic (tree and shrub),mosaic
708,130,92.3925704956055,Grassland,grass
709,130,84.1703033447266,Grassland,grass
710,130,81.541877746582,Grassland,grass
711,130,86.1186904907227,Grassland,grass
712,130,68.2001190185547,Grassland,grass
713,130,89.2193832397461,Grassland,grass
714,130,70.8017425537109,Grassland,grass
764,130,85.1659469604492,Grassland,grass
765,130,89.2374572753906,Grassland,grass
766,130,84.4951400756836,Grassland,grass
767,130,85.298713684082,Grassland,grass
768,130,86.2633514404297,Grassland,grass
769,130,83.8676986694336,Grassland,grass
770,130,72.3278121948242,Grassland,grass
772,130,80.1026611328125,Grassland,grass
822,130,81.3146438598633,Grassland,grass
823,130,82.660514831543,Grassland,grass
824,130,78.8490524291992,Grassland,grass
825,130,80.4531555175781,Grassland,grass
826,130,85.3391723632813,Grassland,grass
827,130,84.3832244873047,Grassland,grass
828,130,86.3751068115234,Grassland,grass
829,130,86.6324081420899,Grassland,grass
881,130,87.435546875,Grassland,grass
882,130,78.0590057373047,Grassland,grass
883,130,80.2683029174805,Grassland,grass
884,130,81.32470703125,Grassland,grass
885,130,81.1564559936524,Grassland,grass
886,130,86.3128509521484,Grassland,grass
887,130,85.9142990112305,Grassland,grass
940,130,82.7034530639648,Grassland,grass
941,130,73.7780227661133,Grassland,grass
942,130,82.6354904174805,Grassland,grass
943,130,67.9558944702148,Grassland,grass
944,130,82.1123886108398,Grassland,grass
945,130,82.6671981811523,Grassland,grass
946,130,87.096549987793,Grassland,grass
999,130,83.8621597290039,Grassland,grass
1000,130,76.6111145019531,Grassland,grass
1001,130,60.3207397460938,Grassland,grass
1002,130,70.8648834228516,Grassland,grass
1003,130,73.3608551025391,Grassland,grass
1004,130,80.9220352172852,Grassland,grass
1005,130,81.1895599365234,Grassland,grass
1057,120,80.8743438720703,Shrubland,shrub
1058,130,78.6219940185547,Grassland,grass
1061,130,65.4865417480469,Grassland,grass
1062,130,82.2347793579102,Grassland,grass
1063,130,87.1116485595703,Grassland,grass
1064,130,91.7388229370117,Grassland,grass
1116,50,72.4698104858399,"Tree cover (broadleaf, evergreen)",trees
1119,130,54.3296051025391,Grassland,grass
1120,130,86.2554702758789,Grassland,grass
1121,130,85.1437911987305,Grassland,grass
1122,130,64.3153762817383,Grassland,grass
1175,130,81.5749893188477,Grassland,grass
1177,130,75.4339218139648,Grassland,grass
1178,130,85.8988571166992,Grassland,grass
1179,130,88.7363662719727,Grassland,grass
1180,210,50.0207710266113,Water,other
1187,50,88.5030059814453,"Tree cover (broadleaf, evergreen)",trees
1234,130,85.0636978149414,Grassland,grass
1235,130,57.2651138305664,Grassland,grass
1236,130,83.0249633789063,Grassland,grass
1237,130,83.1225433349609,Grassland,grass
1238,210,36.7569007873535,Water,other
1245,50,88.6782684326172,"Tree cover (broadleaf, evergreen)",trees
1246,120,93.5353393554688,Shrubland,shrub
1293,130,84.6847686767578,Grassland,grass
1294,130,83.9287643432617,Grassland,grass
1295,130,84.0271301269531,Grassland,grass
1296,130,50.6775550842285,Grassland,grass
1304,50,104.432960510254,"Tree cover (broadleaf, evergreen)",trees
1306,50,93.4397048950195,"Tree cover (broadleaf, evergreen)",trees
1351,130,85.3187561035156,Grassland,grass
1352,130,87.2789535522461,Grassland,grass
1353,130,59.7646217346192,Grassland,grass
1354,190,13.7670040130615,Urban,urban
1362,50,101.565971374512,"Tree cover (broadleaf, evergreen)",trees
1363,50,108.088836669922,"Tree cover (broadleaf, evergreen)",trees
1411,190,65.414665222168,Urban,urban
1412,190,6.55144882202148,Urban,urban
1413,190,6.5766453742981,Urban,urban
1415,130,61.4329643249512,Grassland,grass
1420,50,104.462188720703,"Tree cover (broadleaf, evergreen)",trees
1421,50,109.114891052246,"Tree cover (broadleaf, evergreen)",trees
1422,130,97.2668151855469,Grassland,grass
1423,130,83.6620407104492,Grassland,grass
1468,50,100.722267150879,"Tree cover (broadleaf, evergreen)",trees
1472,190,34.1274185180664,Urban,urban
1473,130,85.1741943359375,Grassland,grass
1474,130,92.794677734375,Grassland,grass
1475,50,101.606399536133,"Tree cover (broadleaf, evergreen)",trees
1476,210,52.2449493408203,Water,other
1479,50,107.616058349609,"Tree cover (broadleaf, evergreen)",trees
1480,50,112.095855712891,"Tree cover (broadleaf, evergreen)",trees
1481,50,96.352653503418,"Tree cover (broadleaf, evergreen)",trees
1528,130,37.7194213867188,Grassland,grass
1530,130,74.0422897338867,Grassland,grass
1531,130,90.9379501342774,Grassland,grass
1532,130,88.577995300293,Grassland,grass
1533,50,91.7865447998047,"Tree cover (broadleaf, evergreen)",trees
1534,210,46.3659515380859,Water,other
1537,50,101.483276367188,"Tree cover (broadleaf, evergreen)",trees
1538,50,106.163352966309,"Tree cover (broadleaf, evergreen)",trees
1539,130,104.075256347656,Grassland,grass
1540,210,53.5499839782715,Water,other
1585,130,90.8552322387695,Grassland,grass
1586,130,70.2442092895508,Grassland,grass
1587,130,87.9332580566406,Grassland,grass
1588,130,81.5383224487305,Grassland,grass
1589,130,90.8031387329102,Grassland,grass
1590,130,85.7043228149414,Grassland,grass
1591,130,88.5712890625,Grassland,grass
1592,130,76.3336715698242,Grassland,grass
1593,130,68.3762969970703,Grassland,grass
1594,130,89.0151672363281,Grassland,grass
1595,130,88.0149688720703,Grassland,grass
1596,50,106.800300598145,"Tree cover (broadleaf, evergreen)",trees
1597,50,102.30379486084,"Tree cover (broadleaf, evergreen)",trees
1644,130,91.6857986450195,Grassland,grass
1645,130,87.0591659545899,Grassland,grass
1646,130,87.7956085205078,Grassland,grass
1647,130,86.0540618896484,Grassland,grass
1648,130,89.0017852783203,Grassland,grass
1649,130,90.8227233886719,Grassland,grass
1650,130,91.2307586669922,Grassland,grass
1651,130,89.439567565918,Grassland,grass
1652,130,91.2415390014649,Grassland,grass
1653,130,91.522216796875,Grassland,grass
1654,130,100.847778320313,Grassland,grass
1655,50,109.265533447266,"Tree cover (broadleaf, evergreen)",trees
1702,130,101.324890136719,Grassland,grass
1703,130,97.8917999267578,Grassland,grass
1704,130,90.8731384277344,Grassland,grass
1705,130,89.1386795043945,Grassland,grass
1706,130,87.629997253418,Grassland,grass
1707,130,63.1222686767578,Grassland,grass
1708,130,89.4285507202149,Grassland,grass
1709,130,93.0181503295898,Grassland,grass
1710,130,91.4597473144531,Grassland,grass
1711,130,95.8868026733398,Grassland,grass
1712,130,100.137145996094,Grassland,grass
1713,130,97.6355972290039,Grassland,grass
1714,130,93.6953430175781,Grassland,grass
1761,130,96.8311233520508,Grassland,grass
1762,130,93.1184768676758,Grassland,grass
1763,130,86.5098648071289,Grassland,grass
1764,130,82.9936141967774,Grassland,grass
1765,130,84.0226211547852,Grassland,grass
1766,130,95.0484771728516,Grassland,grass
1767,130,94.3508529663086,Grassland,grass
1768,130,96.6410598754883,Grassland,grass
1769,130,99.6515884399414,Grassland,grass
1770,130,101.387283325195,Grassland,grass
1771,50,111.18953704834,"Tree cover (broadleaf, evergreen)",trees
1772,130,87.4110107421875,Grassland,grass
1819,130,93.3354568481445,Grassland,grass
1820,130,89.9574203491211,Grassland,grass
1821,130,89.3315963745117,Grassland,grass
1822,130,91.4956436157227,Grassland,grass
1823,130,93.9495239257812,Grassland,grass
1824,130,100.02033996582,Grassland,grass
1825,130,96.9245300292969,Grassland,grass
1826,130,97.2165145874023,Grassland,grass
1827,130,99.6004333496094,Grassland,grass
1828,130,96.9072723388672,Grassland,grass
1829,130,105.169204711914,Grassland,grass
1830,130,93.1975250244141,Grassland,grass
1831,210,35.8986625671387,Water,other
1852,50,110.974853515625,"Tree cover (broadleaf, evergreen)",trees
1853,50,113.052459716797,"Tree cover (broadleaf, evergreen)",trees
1855,120,93.6930236816406,Shrubland,shrub
1877,130,96.8454513549805,Grassland,grass
1878,130,87.207275390625,Grassland,grass
1879,130,93.8316192626953,Grassland,grass
1880,130,94.1155853271484,Grassland,grass
1881,130,86.3379364013672,Grassland,grass
1882,130,87.6622314453125,Grassland,grass
1883,130,98.7756805419922,Grassland,grass
1884,130,98.6625442504883,Grassland,grass
1885,130,98.0974044799805,Grassland,grass
1886,130,95.2815551757813,Grassland,grass
1887,130,99.5303115844727,Grassland,grass
1888,50,110.807502746582,"Tree cover (broadleaf, evergreen)",trees
1889,130,108.805557250977,Grassland,grass
1890,130,72.6511611938477,Grassland,grass
1891,210,53.3965644836426,Water,other
1892,130,66.3917846679688,Grassland,grass
1906,50,107.861228942871,"Tree cover (broadleaf, evergreen)",trees
1907,50,103.485870361328,"Tree cover (broadleaf, evergreen)",trees
1908,50,109.351959228516,"Tree cover (broadleaf, evergreen)",trees
1909,50,109.055557250977,"Tree cover (broadleaf, evergreen)",trees
1910,50,120.948173522949,"Tree cover (broadleaf, evergreen)",trees
1911,50,114.128021240234,"Tree cover (broadleaf, evergreen)",trees
1912,120,108.909965515137,Shrubland,shrub
1913,120,107.50129699707,Shrubland,shrub
1936,130,83.2786865234375,Grassland,grass
1937,130,94.4785614013672,Grassland,grass
1938,130,98.839958190918,Grassland,grass
1939,130,86.656135559082,Grassland,grass
1940,130,64.5690383911133,Grassland,grass
1941,130,98.6676712036133,Grassland,grass
1942,130,98.8408660888672,Grassland,grass
1943,130,96.4063568115234,Grassland,grass
1944,130,97.5906066894531,Grassland,grass
1945,130,94.2012939453125,Grassland,grass
1946,50,111.357162475586,"Tree cover (broadleaf, evergreen)",trees
1947,130,103.682525634766,Grassland,grass
1948,130,108.188407897949,Grassland,grass
1949,130,109.456809997559,Grassland,grass
1950,120,101.419013977051,Shrubland,shrub
1951,130,95.9618453979492,Grassland,grass
1952,130,93.3064727783203,Grassland,grass
1964,50,106.79012298584,"Tree cover (broadleaf, evergreen)",trees
1965,50,112.379096984863,"Tree cover (broadleaf, evergreen)",trees
1966,50,116.443878173828,"Tree cover (broadleaf, evergreen)",trees
1967,50,125.819915771484,"Tree cover (broadleaf, evergreen)",trees
1968,50,126.952651977539,"Tree cover (broadleaf, evergreen)",trees
1969,50,113.329010009766,"Tree cover (broadleaf, evergreen)",trees
1970,130,106.011276245117,Grassland,grass
1971,130,93.7745361328125,Grassland,grass
,,35.5172424316406,,
1993,130,91.3334884643555,Grassland,grass
1994,130,97.3117904663086,Grassland,grass
1995,50,102.933654785156,"Tree cover (broadleaf, evergreen)",trees
1996,130,100.677452087402,Grassland,grass
1997,130,97.8301086425781,Grassland,grass
1998,130,98.1505889892578,Grassland,grass
1999,130,100.680503845215,Grassland,grass
2000,130,93.5703048706055,Grassland,grass
2001,130,98.0231704711914,Grassland,grass
2002,130,98.6243133544922,Grassland,grass
2003,130,97.3876266479492,Grassland,grass
2004,130,103.210327148438,Grassland,grass
2005,50,104.286262512207,"Tree cover (broadleaf, evergreen)",trees
2006,50,107.227416992188,"Tree cover (broadleaf, evergreen)",trees
2007,50,117.243103027344,"Tree cover (broadleaf, evergreen)",trees
2008,130,111.11759185791,Grassland,grass
2009,130,103.777458190918,Grassland,grass
2010,130,103.38703918457,Grassland,grass
2011,130,101.825950622559,Grassland,grass
2012,130,99.3650970458985,Grassland,grass
2013,130,91.4354248046875,Grassland,grass
2021,50,102.580062866211,"Tree cover (broadleaf, evergreen)",trees
2022,50,107.550270080566,"Tree cover (broadleaf, evergreen)",trees
2023,50,117.056137084961,"Tree cover (broadleaf, evergreen)",trees
2024,50,123.473342895508,"Tree cover (broadleaf, evergreen)",trees
2025,50,125.465423583984,"Tree cover (broadleaf, evergreen)",trees
2026,130,119.254295349121,Grassland,grass
2027,130,104.229705810547,Grassland,grass
2028,130,102.747200012207,Grassland,grass
2052,130,93.2113952636719,Grassland,grass
2053,130,108.978485107422,Grassland,grass
2054,50,114.641334533691,"Tree cover (broadleaf, evergreen)",trees
2055,130,98.4098510742188,Grassland,grass
2056,130,94.3241500854492,Grassland,grass
2057,130,104.517875671387,Grassland,grass
2058,130,99.5032043457031,Grassland,grass
2059,130,95.8386840820313,Grassland,grass
2060,130,97.7753677368164,Grassland,grass
2061,130,91.4650497436523,Grassland,grass
2062,50,99.2246017456055,"Tree cover (broadleaf, evergreen)",trees
2063,50,112.206062316895,"Tree cover (broadleaf, evergreen)",trees
2064,130,111.156440734863,Grassland,grass
2065,130,106.799110412598,Grassland,grass
2066,130,87.5696792602539,Grassland,grass
2067,130,86.3083877563477,Grassland,grass
2068,50,90.5254135131836,"Tree cover (broadleaf, evergreen)",trees
2069,50,100.273872375488,"Tree cover (broadleaf, evergreen)",trees
2070,130,101.125663757324,Grassland,grass
2071,130,91.503791809082,Grassland,grass
2072,130,94.1488418579102,Grassland,grass
2073,130,93.7373199462891,Grassland,grass
2076,130,93.494270324707,Grassland,grass
2077,50,95.7663650512695,"Tree cover (broadleaf, evergreen)",trees
2078,50,103.575149536133,"Tree cover (broadleaf, evergreen)",trees
2079,50,102.602821350098,"Tree cover (broadleaf, evergreen)",trees
2080,50,112.038139343262,"Tree cover (broadleaf, evergreen)",trees
2081,50,118.250907897949,"Tree cover (broadleaf, evergreen)",trees
2082,50,124.144218444824,"Tree cover (broadleaf, evergreen)",trees
2083,50,121.188743591309,"Tree cover (broadleaf, evergreen)",trees
2084,130,107.700477600098,Grassland,grass
2085,50,102.659355163574,"Tree cover (broadleaf, evergreen)",trees
2086,120,93.6679534912109,Shrubland,shrub
2110,130,82.9303512573242,Grassland,grass
2111,130,106.25902557373,Grassland,grass
2112,130,105.283531188965,Grassland,grass
2113,130,96.7814025878906,Grassland,grass
2114,130,101.861312866211,Grassland,grass
2115,130,102.640464782715,Grassland,grass
2116,130,95.0845947265625,Grassland,grass
2117,130,94.4269332885742,Grassland,grass
2118,130,97.5185317993164,Grassland,grass
2119,130,93.2612838745117,Grassland,grass
2120,130,97.2301635742188,Grassland,grass
2121,50,109.249824523926,"Tree cover (broadleaf, evergreen)",trees
2122,130,112.838638305664,Grassland,grass
2123,130,61.2445487976074,Grassland,grass
2124,210,51.8485870361328,Water,other
2125,50,93.5474243164063,"Tree cover (broadleaf, evergreen)",trees
2126,50,106.276626586914,"Tree cover (broadleaf, evergreen)",trees
2127,50,97.4186401367188,"Tree cover (broadleaf, evergreen)",trees
2128,80,94.0812454223633,"Tree cover (needle, deciduous)",trees
2129,80,94.4246292114258,"Tree cover (needle, deciduous)",trees
2130,50,95.6255569458008,"Tree cover (broadleaf, evergreen)",trees
2131,130,97.3061370849609,Grassland,grass
2132,130,98.8809127807617,Grassland,grass
2133,50,101.092086791992,"Tree cover (broadleaf, evergreen)",trees
2134,50,103.86368560791,"Tree cover (broadleaf, evergreen)",trees
2135,50,102.058387756348,"Tree cover (broadleaf, evergreen)",trees
2136,50,109.786552429199,"Tree cover (broadleaf, evergreen)",trees
2137,50,109.729339599609,"Tree cover (broadleaf, evergreen)",trees
2138,50,110.685752868652,"Tree cover (broadleaf, evergreen)",trees
2139,50,117.909812927246,"Tree cover (broadleaf, evergreen)",trees
2140,50,119.658966064453,"Tree cover (broadleaf, evergreen)",trees
2141,130,106.753959655762,Grassland,grass
2142,130,105.615562438965,Grassland,grass
2143,130,102.982704162598,Grassland,grass
2144,120,85.1304244995117,Shrubland,shrub
2167,130,108.549453735352,Grassland,grass
2168,50,107.164115905762,"Tree cover (broadleaf, evergreen)",trees
